G2,G1,studymanual,result
6,6,A,0
7,7,A,1
6,6,B,0
6,7,A,1
5,5,A,0
5,5,B,0
6,6,B,1
7,6,B,1
4,4,A,0
5,5,B,0
4,4,A,0
7,7,B,1
7,7,B,1
9,9,A,1
7,8,A,1
9,7,A,1
7,7,B,1
7,7,A,1
8,8,A,1
4,4,A,0
4,5,A,0
7,7,B,1
6,5,A,0
6,5,B,0
5,6,A,0
5,4,B,0
4,5,A,0
5,5,B,0
6,5,A,0
4,4,B,0
6,5,A,1
8,8,A,1
7,7,A,1
6,6,A,1
5,5,B,0
6,5,A,1
6,6,A,1
6,7,A,0
6,6,A,1
6,6,A,1
7,7,A,1
5,6,A,0
7,6,A,1
6,6,A,1
5,6,A,0
5,7,B,1
6,6,B,1
4,4,B,0
7,7,B,1
7,-1,A,1
6,6,A,1
8,8,A,1
5,5,A,0
4,3,B,0
5,6,A,0
8,9,A,1
6,6,A,1
9,8,A,1
8,7,A,1
8,8,A,1
6,7,A,1
9,7,A,1
7,7,A,1
7,7,A,1
8,8,A,1
6,6,B,1
7,7,A,1
7,7,A,1
6,7,B,1
5,6,A,0
5,6,B,0
8,8,B,1
5,4,B,0
5,5,A,0
5,4,A,0
7,7,A,1
7,7,B,1
6,6,A,1
7,7,B,1
5,5,A,0
6,6,A,0
8,6,A,1
5,5,A,0
5,5,B,0
8,8,A,1
6,6,A,0
6,6,A,1
6,5,A,0
7,7,B,1
9,8,A,1
7,7,A,1
9,9,B,1
5,6,A,0
6,7,A,1
6,7,A,1
5,5,B,0
6,5,A,0
8,8,A,1
8,8,A,1
6,5,B,1
0,4,B,0
6,8,A,1
7,7,A,1
7,7,A,1
7,5,A,1
8,7,B,1
8,7,A,1
6,7,A,1
5,5,B,0
7,7,A,1
6,5,A,1
5,6,A,0
6,6,A,0
6,6,B,0
5,5,A,0
7,8,A,1
5,4,B,0
4,4,A,0
5,5,A,0
7,6,A,1
7,7,B,1
6,5,A,0
5,5,A,0
7,5,A,1
8,8,A,1
4,4,A,0
4,4,B,0
7,6,A,1
5,5,A,0
5,5,A,0
6,6,A,1
5,6,B,0
8,7,A,1
9,9,A,1
9,9,A,1
6,7,A,1
7,7,A,1
7,7,A,1
5,5,A,0
5,5,B,0
6,6,A,0
6,6,A,0
7,7,A,1
8,8,A,1
7,7,A,1
6,6,A,1
5,4,A,0
6,6,B,0
8,7,A,1
8,8,A,1
8,8,A,1
7,6,A,1
5,6,B,0
8,7,A,1
5,6,A,0
9,9,A,1
6,6,A,1
4,4,B,0
6,5,A,1
5,5,B,0
5,5,A,0
6,7,A,1
7,7,B,1
7,7,A,1
5,5,B,0
7,6,A,1
5,5,A,0
6,5,A,0
7,8,A,1
7,7,A,1
5,5,A,0
4,4,A,0
7,7,A,1
6,6,A,1
8,8,A,1
5,4,B,0
4,-1,B,0
9,10,B,1
6,6,A,1
7,6,B,1
7,7,B,1
7,6,A,1
5,4,B,0
6,7,A,0
6,6,A,1
4,2,B,0
5,5,B,0
5,5,A,0
7,7,A,1
5,6,A,0
7,6,A,1
8,8,A,1
6,6,A,1
6,6,B,0
6,6,A,0
7,7,A,1
6,6,A,1
6,5,B,1
5,5,B,0
5,6,A,0
7,6,A,1
8,7,A,1
6,7,B,1
6,5,A,1
5,5,A,0
6,7,A,1
6,5,A,1
5,5,B,0
7,7,A,1
7,7,A,1
0,5,B,0
5,5,B,0
6,6,A,1
0,3,B,0
4,3,B,0
0,2,B,0
4,5,B,0
7,6,A,1
6,6,A,1
5,5,A,1
3,3,B,0
6,7,B,1
9,8,B,1
6,5,A,1
6,6,A,1
5,5,A,0
9,9,A,1
5,6,A,0
7,6,A,1
8,8,A,1
5,5,A,0
4,4,A,0
6,5,A,0
5,6,A,0
5,3,B,0
6,6,B,1
6,6,A,1
6,6,B,1
4,5,B,0
6,6,B,1
7,7,B,1
5,6,A,0
7,7,A,1
8,8,B,1
6,6,A,1
6,6,A,1
5,5,B,0
7,7,A,1
5,5,A,0
7,7,B,1
5,6,A,0
5,4,B,0
6,3,B,0
3,4,B,0
5,5,A,0
5,5,B,0
5,4,B,0
6,5,B,0
5,4,B,0
5,6,A,0
4,3,B,0
9,8,A,1
6,7,B,1
7,7,B,1
5,5,A,0
6,7,A,1
5,4,B,0
7,-1,A,1
6,6,A,1
5,6,A,0
6,6,A,1
6,5,A,1
7,8,A,1
6,6,A,1
6,5,A,1
9,8,B,1
4,4,B,0
4,5,B,0
6,5,A,0
9,9,A,1
9,7,A,1
7,7,A,1
5,5,A,0
6,7,A,1
8,8,A,1
9,9,B,1
5,5,B,0
5,4,B,0
5,6,A,0
5,6,A,0
5,5,B,0
7,7,A,1
6,7,A,1
7,7,A,1
6,5,B,0
6,6,A,0
8,8,A,1
7,7,A,1
8,7,A,1
3,3,B,0
6,6,A,1
9,8,A,1
4,5,B,0
4,5,B,0
5,4,B,0
8,7,A,1
5,5,A,0
6,6,B,1
7,7,B,1
5,5,A,0
9,9,B,1
9,7,A,1
6,6,B,1
7,7,A,1
5,6,A,0
7,7,A,1
7,6,B,1
7,8,B,1
3,4,B,0
8,9,B,1
7,7,A,1
5,5,B,0
6,6,A,1
6,5,B,0
6,7,A,1
5,5,A,0
7,6,B,1
7,7,A,1
4,4,A,0
7,6,A,1
7,6,A,1
5,5,A,0
8,7,B,1
7,7,A,1
3,4,B,0
4,3,B,0
8,8,A,1
6,6,A,1
7,7,A,1
6,5,B,0
6,7,A,1
5,5,A,0
8,7,A,1
8,8,B,1
6,5,B,0
7,7,A,1
5,6,B,0
6,7,B,1
6,7,B,1
6,6,A,1
6,6,A,0
6,5,B,0
7,7,A,1
4,4,B,0
6,7,B,1
6,5,B,0
7,7,A,1
6,0,A,0
3,3,B,0
4,4,A,0
8,8,A,1
6,6,A,1
6,7,A,0
5,5,B,0
5,4,A,0
7,6,A,1
4,4,B,0
6,6,A,1
6,6,A,0
5,5,A,0
6,6,A,1
5,6,A,0
6,6,A,1
7,7,A,1
